# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "exon" "-g" "gene_id" "-a" "Homo_sapiens.GRCh38.93.1.1.10M.gtf" "-o" "vector_counts/SAMPLE2_PE_counts" "SAMPLE2_PE.bam" 
Geneid	Chr	Start	End	Strand	Length	SAMPLE2_PE.bam
ENSG00000237094	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	365389;365395;365615;366019;368251;373144;373182;379769;379769;476364;484832;485026;485040;485040;485066;489361;494382;494464;494475;494611;494771;494992;494992;494992;494992;494992;495277;495277;496264;497109;497109;497109;497134;497205;497210;497240;497245;497275;498047;498073;498073;498073;498281;498399;498399;498399;498399;498399;498399;498399;498399;498684;498684;498684;498684;498984;501556;501556;501556;501556;501556;501588;501604;502187;502465;502465;502465;502465;502465;502862;504470;504865;504980;504980;514359;514359;514359;514359;517156;517185;517185;522859	365692;365692;365692;366151;368450;373323;373323;379870;379972;476945;485208;485208;485208;485208;485208;489553;494586;494898;494898;494898;494898;495049;495049;495049;495049;495049;495368;495476;496605;497299;497299;497259;497299;497228;497299;497299;497299;497299;498305;498305;498305;498305;498305;498456;498456;498976;498456;498456;498456;498456;498456;499175;499002;498976;499175;499369;501607;501620;501620;501620;501620;501620;501620;502243;502661;502598;502873;502598;502508;502955;504933;505103;505103;505103;514413;514423;514423;514423;517225;517266;517252;522928	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6204	3
ENSG00000269732	1	439870	440232	+	363	0
ENSG00000284733	1	450703	451697	-	995	0
ENSG00000233653	1;1	487101;489717	489387;489906	+;+	2477	0
ENSG00000250575	1;1	491225;492768	491989;493241	-;-	1239	0
ENSG00000278757	1	516376	516479	-	104	0
ENSG00000230021	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	586071;586278;586821;586821;586945;588117;594191;594198;594308;594308;594308;594629;597299;601398;601398;601398;601398;601398;601436;607955;607955;607955;607955;607955;612741;612741;627377;627961;628919;628919;628919;631131;631131;633044;698927;701936;703685;703685;711711;711711;711867;720024;720032;720032;720032;720032;720053;724358;732017;827670;827670	586358;586358;586955;586955;586955;588453;594756;594756;594756;594756;594756;594756;598551;601577;601577;601577;601577;601577;601577;608056;608056;608056;608056;608056;612864;612813;627823;628223;629006;629006;629006;631150;631204;633129;698959;702340;703789;703789;711922;711922;711922;720206;720200;720150;720200;720194;720200;724564;732212;827769;827796	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5411	0
ENSG00000235146	1;1;1;1	587629;587668;594235;594235	587701;587729;594768;594574	+;+;+;+	635	0
ENSG00000225972	1	629062	629433	+	372	1302
ENSG00000225630	1	629640	630683	+	1044	4471
ENSG00000237973	1	631074	632616	+	1543	30925
ENSG00000278791	1	632325	632413	-	89	0
ENSG00000229344	1	632757	633438	+	682	4425
ENSG00000240409	1	633535	633741	+	207	704
ENSG00000248527	1	633696	634376	+	681	8122
ENSG00000198744	1	634376	634922	+	547	6941
ENSG00000268663	1	674842	675265	+	424	0
ENSG00000284662	1	685679	686673	-	995	0
ENSG00000229376	1;1	722092;724718	724360;724903	+;+	2455	0
ENSG00000228327	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	725885;733307;735423;743180;744195;744728;746695;756077;758967;764723;764723;765144;766329;766329;768548;768548;769497;772976;774171;774171;778284	729804;733364;735613;743350;744391;744825;746818;756141;759123;764800;765247;765247;766387;766387;768613;768613;769712;773107;774280;774280;778626	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6432	18
ENSG00000223181	1	758233	758336	-	104	0
ENSG00000229905	1;1	760911;761778	761154;761989	+;+	456	0
ENSG00000237491	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	778770;778782;778930;778937;779056;781937;781937;781937;781937;783111;783111;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784370;784396;785800;786393;792882;792882;795470;795470;795470;801607;803567;803567;803919;803919;803919;803919;803919;803922;803951;803951;804776;804776;804776;804776;804776;804776;804776;804799;804932;806386;807217;807217;807217;807217;807217;809622;809658	779092;779092;779092;779092;779092;782136;782136;782191;782043;783363;783363;784493;784493;784493;784493;784493;784759;784977;784493;784493;784493;784493;784429;784655;784690;784493;787672;786866;793041;793041;795582;795582;795513;801876;803667;803667;804222;804222;804222;804222;804222;804222;804222;804222;804966;804966;804966;805270;805127;804832;804875;804966;804966;806459;807323;807321;807465;807323;807314;810060;809729	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5517	27
ENSG00000285268	1	781937	782050	+	114	0
ENSG00000230092	1;1;1;1;1;1;1;1	800879;805799;805799;808574;808574;810067;810067;817373	801163;805891;805891;808623;808623;810161;810170;817712	-;-;-;-;-;-;-;-	872	2
ENSG00000177757	1;1	817371;818723	818202;819837	+;+	1947	0
ENSG00000228794	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	825138;826832;827608;827657;827661;827661;827667;827669;827673;827699;827700;827721;827821;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;829003;831605;841200;841200;841200;847654;847654;847654;847654;847654;847654;847654;849484;849484;849484;849484;850178;850181;850181;851348;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;851927;852671;852671;852671;852671;853391;853391;853391	825552;826923;827775;827775;827775;827775;827775;827775;827775;827775;827775;827775;827853;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;829104;831677;842020;841373;841738;847806;847806;847806;847806;847806;847806;847806;849602;849602;849602;849592;850351;850351;850351;852110;852090;852515;852110;852110;852110;851998;851987;852090;852014;852225;852110;852752;852766;852766;852766;853522;853626;859446	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9470	49
ENSG00000225880	1	826206	827522	-	1317	0
ENSG00000230368	1;1;1;1;1;1;1;1;1;1	868071;868240;868403;868627;869528;870086;874112;875040;876746;876746	868675;868530;868675;868675;869575;870201;875155;875155;876802;876903	-;-;-;-;-;-;-;-;-;-	1971	0
ENSG00000234711	1	873292	874349	+	1058	4
ENSG00000283040	1;1;1;1;1	874529;875047;875526;876527;876755	874591;875155;875625;876611;877234	-;-;-;-;-	837	0
ENSG00000272438	1;1	904834;915750	904957;915976	+;+	351	0
ENSG00000230699	1;1	911435;911945	911473;914948	+;+	3043	0
ENSG00000241180	1;1	914171;914803	914444;914971	+;+	443	0
ENSG00000223764	1;1;1;1;1;1;1	916865;916870;917370;918022;918022;918825;919335	921016;917720;917486;918110;918534;918915;919692	-;-;-;-;-;-;-	4152	0
ENSG00000187634	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	923928;925150;925738;925741;925741;925741;925741;925741;925741;925741;925741;925922;925922;925922;925922;925922;925922;925922;925922;925922;925922;925922;930155;930155;930155;930155;930155;930155;930155;930155;930155;930155;930155;930312;931039;931039;931039;931039;931039;931039;931039;931039;931039;931039;931039;935772;935772;935772;935772;935772;935772;935772;935772;935772;935772;935772;939040;939040;939040;939040;939040;939040;939040;939040;939040;939272;939272;939272;939275;939275;939275;939275;939275;939275;940346;941076;941144;941144;941144;941144;941144;941144;941144;941172;942103;942136;942136;942136;942136;942136;942136;942136;942136;942136;942166;942410;942410;942410;942410;942410;942410;942410;942410;942410;942410;942410;942410;942410;942559;942559;942559;942559;942559;942559;942559;942559;942559;942559;942559;942559;942559;943253;943253;943253;943253;943253;943253;943253;943253;943253;943253;943253;943698;943698;943698;943698;943698;943698;943698;943698;943698;943698;943698;943908;943908;943908;943908;943908;943908;943908;943908;943908;943908	924948;925189;925800;925800;925800;925800;925800;925800;925800;925800;925800;926013;926013;926013;926013;926013;926013;926013;926013;926013;926013;926013;930336;930336;930336;930336;930336;930336;930336;930336;930336;930336;930336;930336;931089;931089;931089;931089;931089;931089;931089;931089;931089;931089;931089;935896;935896;935896;935896;935805;935896;935896;935896;935793;935896;935896;939129;939129;939129;939129;939129;939129;939129;939129;939129;939412;939460;939412;939460;939412;939460;939412;939460;939291;940462;941306;941306;941306;941306;941306;941306;941230;941306;941306;942251;942251;942173;942251;942251;942251;942251;942251;942251;942251;942488;942802;942488;942488;942488;942488;942488;942488;942488;942488;942488;942488;942488;942488;942892;942994;943058;943058;943058;943058;943058;943058;943058;943058;943058;943058;943058;943377;943377;943377;943377;943377;943377;943377;943377;943377;943377;943377;944259;943808;943808;943808;943808;943808;943808;943808;943808;943808;943808;944575;944581;944581;944581;944581;944581;944581;944581;944581;944575	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4166	6
ENSG00000188976	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	944204;944204;944205;945042;945042;945057;945319;945518;945518;945518;945518;946173;946173;946173;946402;946402;946402;948131;948131;948490;948490;951127;951127;952000;952000;952412;952412;953175;953175;953782;953782;954004;954004;954426;955923;955923;955923;956095;956095;956095;956894;956894;956894;957099;957099;957099;958246;958929;958929;959215;959215;959215	944800;944800;944800;945146;945146;945146;945422;945562;945653;945653;945653;946286;946286;946286;946545;946545;947060;948232;948232;948603;948603;951238;951238;952139;952139;952600;952600;953288;953288;953892;953892;954523;954082;954523;956013;956013;956013;956215;956215;956215;957025;957025;957025;957273;958458;957273;959081;959081;959081;959256;959309;959290	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5539	203
ENSG00000187961	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	960587;960639;961293;961449;961629;961826;961826;962082;962355;962704;962704;962727;963032;963109;963109;963337;963337;963337;963552;963920;963920;963920;964107;964107;964107;964107;964349;964349;964349;964963;964963	960800;960699;961552;961750;961750;962478;962047;962471;962471;962917;962917;962917;963253;963253;963253;963504;963504;963504;964008;964008;964008;964008;964164;964167;964167;964180;964530;964530;964530;965602;965715	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3395	42
ENSG00000187583	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	966497;966502;966502;966704;966704;966704;970277;970277;970277;970521;970521;970521;970686;970686;970686;970875;970879;970879;971077;971077;971077;971113;971324;971324;971324;971324;972075;972075;972075;972288;972288;972288;972861;972861;972861;973186;973186;973500;973500;973500;973512;973833;973833;973833;973833;974316;974316;974316;974316;974442;974442;974442;974442;975712	966614;966614;966614;966803;966803;966803;970423;970423;970423;970601;970601;970601;970758;971006;970758;971006;971006;971006;971208;971208;971208;971208;971523;971404;971404;971404;972150;972150;972150;972424;972424;972424;973010;973010;973010;973326;973326;973640;973640;973640;973640;974051;974051;974051;974051;974364;974364;974364;974364;974588;975008;975008;975108;975865	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2833	2
ENSG00000187642	1;1;1;1;1;1;1;1;1;1	975204;975205;975205;976499;976499;976499;978881;978881;981137;982065	976269;976269;976269;976624;976641;976624;980657;981029;981173;982093	-;-;-;-;-;-;-;-;-;-	3424	0
ENSG00000272512	1	995966	998051	-	2086	0
ENSG00000188290	1;1;1;1;1;1;1;1;1;1;1;1	998962;998964;998966;998970;999526;999526;999526;999526;999692;999692;999866;999866	999432;999432;999432;999432;999613;1000096;999613;999613;999787;1000172;999981;1000111	-;-;-;-;-;-;-;-;-;-;-;-	1118	12
ENSG00000187608	1;1;1;1;1;1;1;1	1001138;1001145;1008194;1008194;1013423;1013984;1013984;1013984	1001281;1001263;1008279;1008279;1013576;1014540;1014435;1014541	+;+;+;+;+;+;+;+	942	53
ENSG00000231702	1	1008076	1008229	-	154	47
ENSG00000224969	1;1	1011997;1012917	1012190;1013193	-;-	471	0
ENSG00000188157	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1020123;1020123;1022201;1022201;1034106;1034867;1035277;1035277;1035277;1040665;1040665;1040665;1040665;1041173;1041173;1041173;1041478;1041478;1041956;1041956;1043239;1043239;1043538;1043538;1043823;1043823;1044109;1044109;1044334;1044334;1045161;1045161;1045359;1045359;1045399;1045733;1045733;1045733;1045964;1045964;1045964;1046160;1046160;1046160;1046397;1046397;1046820;1046820;1047201;1047327;1047327;1047475;1047573;1047573;1047573;1047776;1047776;1047776;1047776;1048012;1048012;1048529;1048867;1048867;1049236;1049236;1049236;1049566;1049566;1049903;1049903;1050233;1050233;1050427;1050427;1050508;1050726;1050726;1050726;1051032;1051032;1051253;1051253;1051253;1051453;1051453;1051453;1051728;1051728;1051728;1051986;1051993;1051993;1053461;1053461;1053753;1053753;1053753;1054448;1054448;1054448;1054824;1054824;1054824	1020373;1020373;1022462;1022462;1034703;1035324;1035324;1035324;1035324;1040725;1040880;1040880;1040880;1041397;1041397;1041397;1041702;1041702;1042162;1042162;1043457;1043457;1043732;1043732;1044023;1044023;1044257;1044257;1044439;1044439;1045277;1045277;1045523;1045523;1045523;1045876;1045876;1045876;1046088;1046088;1046088;1046349;1046265;1046265;1046735;1046735;1046957;1046957;1047454;1047454;1047454;1047687;1047687;1047687;1047687;1047865;1047838;1047895;1047895;1048365;1048365;1049059;1049059;1049059;1049394;1049451;1049451;1049795;1049795;1050037;1050037;1050329;1050329;1050591;1050591;1050591;1050837;1050837;1050837;1051043;1051043;1051369;1051369;1051369;1051645;1051645;1051645;1051815;1051815;1051815;1053977;1052016;1052016;1053493;1053493;1053950;1053977;1053977;1054551;1054551;1054551;1056112;1056118;1056116	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10758	299
ENSG00000242590	1;1	1055033;1055898	1055215;1056116	+;+	402	0
ENSG00000217801	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1059734;1060280;1061020;1063079;1063079;1063079;1063079;1063480;1064210;1064490;1064495;1064518;1065352;1065830;1065830;1065830;1065830;1065949;1066587;1067566;1067869;1068577;1069208	1059846;1060393;1061117;1063201;1063201;1063201;1063201;1063566;1064401;1064589;1064589;1064589;1065475;1066274;1066456;1066456;1066005;1066441;1066667;1067646;1068003;1068724;1069355	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2171	1
ENSG00000273443	1;1	1062208;1063061	1062808;1063288	-;-	829	0
ENSG00000237330	1;1	1070966;1074016	1072575;1074307	-;-	1902	0
ENSG00000131591	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1081818;1081823;1081823;1081823;1081825;1081825;1081825;1082146;1082235;1082604;1082700;1082916;1083915;1083915;1083915;1083915;1083915;1083915;1083915;1083926;1084353;1084353;1084353;1084353;1084353;1084353;1084353;1084481;1084481;1084481;1084481;1084481;1084481;1084481;1084481;1084481;1085251;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1085878;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087139;1087141;1087190;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087502;1087575;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090353;1090406;1090876;1091046;1091278;1091278;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091472;1091500;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1091991;1092566;1092566;1105956;1105956;1105956;1106650;1115022;1115022;1116060;1116060;1116060;1116060;1116060;1116060;1116060;1116060;1116060;1116060;1116060	1082987;1082987;1082987;1082987;1082987;1082987;1084506;1082253;1082987;1082987;1082987;1082987;1084011;1084383;1084072;1084086;1084383;1084086;1084383;1084086;1084383;1084383;1084383;1084383;1084383;1084383;1084506;1084506;1084506;1084506;1084506;1084506;1084506;1084506;1084506;1084506;1085310;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1086012;1087204;1087204;1087204;1087204;1087204;1087204;1087204;1087636;1087204;1087204;1087204;1087204;1087204;1087204;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1087597;1090428;1090428;1090587;1090428;1090428;1090428;1090428;1090428;1090428;1091374;1090428;1090428;1090428;1090428;1090428;1090983;1091565;1091374;1091374;1091565;1091565;1091565;1091609;1091565;1091565;1091565;1091565;1092174;1091565;1091565;1091565;1091565;1091565;1091565;1091565;1092103;1092103;1092103;1092103;1092103;1092294;1092103;1092103;1092103;1092103;1092103;1092103;1092103;1092103;1092077;1092103;1092813;1092813;1106049;1106049;1106127;1106871;1115075;1115075;1116087;1116089;1116361;1116356;1116243;1116095;1116089;1116089;1116098;1116095;1116081	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6322	12
ENSG00000223823	1;1;1	1137017;1140825;1142739	1137110;1141032;1144056	+;+;+	1620	0
ENSG00000207730	1	1167104	1167198	+	95	0
ENSG00000207607	1	1167863	1167952	+	90	0
ENSG00000198976	1	1169005	1169087	+	83	0
ENSG00000272141	1	1169357	1170343	+	987	0
ENSG00000205231	1;1	1173056;1179365	1176396;1179555	-;-	3532	0
ENSG00000162571	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1173884;1173903;1173906;1174266;1174285;1174424;1174424;1174521;1179189;1179189;1179657;1179657;1179697;1180034;1180034;1180034;1180483;1180483;1180483;1180484;1180537;1180731;1180731;1180731;1180731;1181741;1181741;1181741;1181741;1182361;1182361;1182361;1182361;1182876;1182876;1182876;1182876;1183920;1183920;1183920;1183920;1184969;1184969;1184969;1185036;1196386;1196600;1196600;1196600;1197093;1197093;1197093;1197438;1197438;1197438	1173926;1173926;1173926;1174321;1174321;1174489;1174489;1175034;1179333;1179333;1179737;1179737;1179853;1180340;1180340;1180340;1180601;1180601;1180601;1180860;1180601;1180884;1180860;1180860;1180860;1181815;1181815;1181815;1181815;1182446;1182446;1182446;1182446;1183047;1183047;1183047;1183047;1183927;1184091;1184091;1184091;1185864;1185109;1185109;1185109;1196488;1196716;1196716;1196716;1197186;1197186;1197186;1197475;1197933;1197935	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3943	0
ENSG00000186891	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1203508;1203511;1203844;1203844;1204034;1204034;1204055;1204399;1204399;1204399;1204399;1205370;1205370;1205370;1205370;1206385;1206385;1206385	1203960;1203968;1203968;1203968;1204236;1204236;1204236;1204486;1204486;1204486;1204486;1205492;1205492;1205680;1205492;1206571;1206571;1206691	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1370	0
ENSG00000186827	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1211326;1211340;1211704;1211942;1211942;1212019;1212638;1212638;1212638;1212992;1212992;1212992;1213395;1213663;1213983;1213983	1211625;1211832;1211832;1212138;1212138;1212138;1212704;1212704;1212704;1213093;1213785;1213093;1213498;1213785;1214138;1214132	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1721	0
